commit,repo_name,message
8f1ed321bb0c151d1abefdf0e74dfdb9b3f2cbad,cylc/cylc,"Replaced the pickle reg db with simpler flat files.

Closes #327
"
b262d379c8ed054fe40ba32784b15bac28d3a778,cylc/cylc,"finish cycling.loader interface refactor
"
f4c3a892eb5e1212269cdbcedebc42a60cbc3fa4,cylc/cylc,removed obsolete get_config method from src
c7e23171caeeeca010a769adc387f4b396981126,cylc/cylc,"Merge pull request #2067 from matthewrmshin/consolidate-service-files

Consolidate service files"
b27695093e23b2d8ca11c73ec24fb3173694c3ed,cylc/cylc,"Merge pull request #857 from benfitzpatrick/cylc-gui.toolbar-text

cylc graph, cylc gui: add toolbar text, rename 'landscape' mode"
895d81ad35e733e81c750fce50add987d8931d70,cylc/cylc,"Cleaner thread start and exit logging.
"
f86bca3aa977ce8e5981277297024d9bb4b53485,cylc/cylc,"Merge pull request #2005 from matthewrmshin/improve-corrupt-port-file-handling

Improve handling of missing/corrupted port file"
d29dc0a6c67bc9a888787985c9715a75c1da72a7,cylc/cylc,"draft of per-task-instance cleanup-cutoff
"
7d2494be8b7ce6cbf6d411f195cb58f8968b7f12,eciis/web,"Making tests and refactoring the DialogController removing the
"
987cf95aaa285546e4ce865242c99a09da8b6e5f,eciis/web,"Removing a useless import
"
8f032f4520d013a27a89272aa5249682fe7bcbec,eciis/web,"Refactoring invite_handler
"
35d2dfe3616c134741eb12ae113ffae25000de97,eciis/web,"Refactoring removing_institution
"
c7105e8c107840db6062a015093bf31b046ee31b,eciis/web,"Merge pull request #542 from eciis/refactoring-update-stub-institution

Refactoring update stub institution"
06c4601ac8af97c2d031dd85ae519ac4bea942ca,epam/DLab,"Fixed some errors and refactored code
"
52931d4e02fc85225b24505ba97399aca1044571,este/este,"Deps and little refactoring
"
c1dbba44d4c319162e95a6eef7a437b3316816d9,este/este,"Native context (#1529)

* Paths must be quoted for Windows

* Context refactoring in progress

* Close #1525
"
0585bee1ef3dad3882932b863b0d82204edad94a,gocd/gocd,"Splitting windows commands into multiple lines
"
30e010015c66dc4e29caa6763ce5004dfbc1e78f,gocd/gocd,"Merge pull request #2367 from ketan/remove-dead-code

Remove old controllers that have been superseeded"
3633280a962c28e814da6b3444af67a9bb5f2e28,gocd/gocd,"Initial Work to move CR into a separate module

* This will allow for the sharing of the CR models and serialization
between plugins and the go server
* see #5374 for more details
"
eef3825e34cd445f80984d199d35480e63d0ed03,gocd/gocd,"Copy plugin-endpoint.js to cached assets root so that it is available to plugins

The js file is copied to the root of the classpath so that it can be written
to the cached assets root on get static assets requests.

This allows us to maintain the library in one place, while still making it
available to both server and plugin iframes.
"
1d9d0357e64d55fe47c923dc10b081fe56a31a56,gpac/gpac,"refactoring: m3u8 to mpd converting
"
322e766075090358bdfffa64007d97e31d3bda6c,grow/grow,"Updating commands to clear cache first. Separate cache files.
"
90050a181a83e11e1e13eb105d84cfbe7ba8fdc8,grow/grow,"Internal cleanup -> flatten documents folder.
"
832b685740f52dd1ac04fe7cdda4cc5ad1e7fa92,grpc/grpc,"Merge pull request #8517 from markdroth/circular_dependency_fix

Move method_config module from ext/client_channel to lib/transport."
3dca23aa0deb3d14ec97d998e1b37b3c2c403d65,grpc/grpc,"Make zlib a first class build citizen
"
183a59fa23bb18c7efe458949a1dbde25994433d,grpc/grpc,"Clean up connector code.
"
6d84373f8e9e21e4eee1f30c1573280eba455b9d,grpc/grpc,"Manually merge release-0_11 into make-errors-public-beta to solve conflict
"
e360568a70783d5bb5da1b3a51098ffdcc59d2d5,grpc/grpc,"Rename poll_kick_test to poll_kick_posix_test
"
a0f5db15815d3ec5b2ad3b781cca5e2eb6468824,grpc/grpc,"Rename GRPCCallOptions+internal->GRPCCallOptions+Internal
"
423d6fd7ed418aead7d494e8d3c31ecd6e2743f1,grpc/grpc,"Optimize framing a little

- rely on the fact that data-to-come holds a reference to
data-being-written, so there's no need to add a ref for every frame
written
- provide an 'inlined' version of grpc_slice_malloc (via a #define) that
gives the compiler more information about small allocations to enable
better optimization
"
c84886b2754d77cd413313b1c3719e5f638b814e,grpc/grpc,"Better implementation, flip timer logic to make 0-init pre-triggered
"
73596b8d049a7d441a006c1e422c9aa90ef2dd47,grpc/grpc,"Merge pull request #3618 from dgquintas/cq_alarm

Added grpc_alarm (renamed previous one to grpc_timer)"
f975f74c016d5850d10644c4865e76e05e4b7815,grpc/grpc,"Refactor workqueues a little to make them great again
"
3d04e025bcffd1e583d502de4ee26625ea866b21,grpc/grpc,"Remove lockfree-stack implementation that is no longer used
"
fb2eb5279e3979f959163261f7d25543d078e869,grpc/grpc,"Merge pull request #13830 from jtattermusch/cmake_cleanup

Simplify top level CMakeLists.txt"
f2b2558cc38ea68c070a528ccf612a2eec90ee81,grpc/grpc,"Merge pull request #2593 from ctiller/elliptic-orange-chamelion

Rename grpc_channel_create to grpc_insecure_channel_create"
d953959e2bafd645b6ed674861a310daba5f80ae,grpc/grpc,"Enable split code generation

To support magical internal build processes, the pb2 files need to be
split into pure-proto and gRPC parts. This performs that split and
further fixes bad module names in the test harness that interfered with
the intended test implementation.

An unfortunate side effect, due to limitations of protoc and holdover
behavior we must support in major version 1.x, is that trash files are
generated in split generation. This shouldn't be a problem in normal
protoc plugin use.
"
c4b6ffb1b6aa9fb3c5fbf15a5e7e2862cfc4624c,grpc/grpc,"Add a GrpcLibrary class to wrap grpc_init and grpc_shutdown and convert all the tests to init/shutdown free.
"
a0912d5f1b067faf8e53f88be6bfbbaef5071634,grpc/grpc,"Merge pull request #17254 from jtattermusch/runtests_python_nits

run_tests.py cleanup: nits in PythonLanguage"
485d77628d0ce8889a420576d5bc41ccbbf48963,grpc/grpc,"Move string.h to internal code
"
e621f13ecd64d005ad3dfe84f67e81dde6c113ef,grpc/grpc,"Simplified ruby interop test files
"
6848c4e14584e55859018b30390589c418b93358,grpc/grpc,"wip. prior to cq refactoring
"
8b1d59cafac9b2dd30cd080450ee68e85a039dc4,grpc/grpc,"Add some debug utilities

This PR adds a set of debug helpers that are intended for calling only from gdb. They cross abstraction boundaries and allow quickly accessing one thing from another thing.
I expect to grow this library significantly over time to aid debugging tricky problems.
"
d38b2c479a53a15ea080a468bc54295baa78b386,grpc/grpc,"Merge pull request #6761 from ctiller/there-were-no-fatalities

Rename GRPC_CHANNEL_FATAL_FAILURE --> GRPC_CHANNEL_SHUTDOWN"
23821ceb690a71ef307c8878d352c534c27d838b,grpc/grpc,"Reworked GrpcEnvironment initialization and shutdown to allow running all tests at once.
"
786522166ed35f93d64c316c0e4911a74d782be0,grpc/grpc,"Merge pull request #3027 from jboeuf/security_connector_refactoring

Security connector refactoring"
3924afbf9c354888e2d13a9399299ef49e923894,grpc/grpc,"Merge pull request #5752 from vjpai/make_open_loop_again

More fixes for performance benchmarking code"
aa3b19741f345faa3eb3d9bdcfa9d7064e5c439c,grpc/grpc,"Rename tracer_peer to tracer_util
"
e300670153d3c7cf62660c49c90cbfc6a63f3c0c,grpc/grpc,"Simplify hash table API: remove per-entry vtable and take ownership of
keys and values.
"
20afa3d7c933207c548ed11928c47b552b5b2f80,grpc/grpc,"BufferPool --> ResourceQuota
"
ff2828be3dcb22f09d05117eaa1dddea17703ecf,grpc/grpc,"Rewriting mutex, condition_variable, and thread.
"
1b2db6333d4783e18b8d72db7893a758c4fcd2b9,grpc/grpc,"Moved protos out of core_codegen interface
"
1a768777796ba7ed76558312601d25a2080fd8bd,grpc/grpc,"Delete unused code
"
662ec97674dd0918f4db4c21f5f47038c535a9ba,grpc/grpc,"Merge pull request #12878 from markdroth/pick_first_subchannel_list

Refactor subchannel_list code out of RR and use it in PF."
c3ec3f55d93e530a2c344812e734c02d49e5e7c0,grpc/grpc,"Clean up output
"
5f8d05bb9c72d950ca35e27a8da8a303765c85cb,grpc/grpc,"Merge pull request #2698 from soltanmm/reorganize-python

Reorganize src/python."
4c0fe49f76e0e3d7e7ceed5722cc43010af61ab3,grpc/grpc,"Move subchannel_call_holder code into client_channel module.
"
1f41b6b5eda983052b31f60dcbe24b8021bc2fc2,grpc/grpc,"Simplify adding annotations, annotate more things
"
50ad1bbbf1ea5a028e95a696449dd2c40cdc65a6,grpc/grpc,"Merge pull request #3119 from ctiller/cleaner-build

Cleaning up our build process for windows a little"
707efdbbce4688d8b6395663c971411c66ac5fcb,perl6/doc,"Split proceed/succeed markers

Closes #1089
"
c94eb15a47335d509aa2d0d118e145cc25863906,pnpm/pnpm,"refactor: use the term id instead of fullname

npm uses the term ID, so for consistency pnpm should
use the same terminology.

Close #377
"
ef38bbe3f84ffc9562ca4dbe68788bfbcc17067b,pnpm/pnpm,"chore: remove separate test package
"
3a68118748ead8fa2e24b1fdc412577accd7f834,pnpm/pnpm,"refactor: use util.promisify instead of thenify
"
878fc629f790ccadef6f6dd7c2f65f6584da978b,pnpm/pnpm,"refactor: use @pnpm/read-package-json
"
8f030ed1096fa0469f64c522b3a5cc335ff1c2b1,pnpm/pnpm,"refactor: move option type to @pnpm/types
"
47fe2d67e8460e8cf0eec0270f25394acbf1852e,pnpm/pnpm,"refactor: use PnpmOptions as createResolver options types
"
2b6981556f032b8bf0f2ffcf97663bfb3a8cf0d3,pnpm/pnpm,"fix: make use of function instead of getter
"
5a146d4e7c0fa5967bf20778e09322738acd8c4a,pnpm/pnpm,"chore: no separate package for tests
"
d816f2d5be2649dc7cd03fd20c60f302f6a29422,pnpm/pnpm,"refactor: move the git resolver to a separate package
"
5a6f7fb8a226c16aafa268be687bd2b515849d48,sireum/v3,"Refactored Slang AST.
"
00d3477a6a18a971054defb5740f5d69f6c53d8c,sireum/v3,"Adapted to library collection API refactoring.
"
c4f4fb87ca168396c830b0fdcd4b81739ace9561,sireum/v3,"Refactored Slang AST.
"
43867d6b8e992b5f660aaa8eabb51f0a38fe3bbb,sireum/v3,"Refactored DefaultProofContext to ForwardProofContext. Reorganized examples.
"
d70f8bad2e9346ee3adda37a93c347300e68b0b8,xing/hops,"refactor plugin, replace custom code with existing npm modules
"
1861a4cd6bb5597f224615d8a321451f6e2af946,xing/hops,"refactor(react): use untool react mixins
"
47a43aad36f0099efdfead105accbd1ecf1000af,xing/hops,"refactor(spec): switch to jest
"
8cc81911936f64895adf3227344eb9ce98649147,xing/hops,"refactor(lambda): use hops-mixin
"
ca8469024864db3fbabfe02fa32fe608fcc0eae4,xodio/xod,"refactor(rt/c++): rename root namespace (_program → xod)
"
a81b4b23f3ad1ec2f8bfebcc6c849464c8ceac40,xodio/xod,"Merge pull request #1171 from xodio/refactor-convert-bound-values

Migrate bound values into bound literals"
1518d10734134dd1043f81ec7365587b9c506628,xodio/xod,"feat,refactor(xod-client-electron): add bundled arduino packages index and functions to get list of boards from it, also refactor `sortByVersion` function to sort strange arduino versions (E.G. ""1.6.4+1.19"") properly
"
15c9727dc1d4e9f23e9c90ebe71806f85cf54ad7,xodio/xod,"refactor(infra): kill xod-core package
"
c2d373b3c193f70b4804276ac2059483da2ae4f4,xodio/xod,"refactor(links): replace link properties fromPinId and toPinId with single array pins (link has no direction, but data flow really defined by pin direction)
"
deab64b7928240bcf3f4d316a24ab692f38d05bb,xodio/xod,"refactor(stdlib): use port and byte pins in xod/common-hardware
"
425e7e6165330c47ea25cbea55c236c5c265fe2f,xodio/xod,"refactor(Pins): moving pins inside nodes without saving them in the state shape (getting them by selectors).

Now pins and links between them are being displayed, but actions, reducers and linking are in process
"
2654ac09ccc5da6e2fe99e60291d4c6013958c3e,0xAX/emacs,"Minor integer overflow fixes.

* window.c (Fset_window_new_pixel): Don't let new_pixel go negative.
This improves on the previous fix to this function.
(window_resize_check): When summing up pixel counts, don't rely on
undefined behavior if the sum overflows.

Fixes: debbugs:16033
"
b246f9329c26a1174f760d345927d740aaac364b,0xAX/emacs,"* composite.c (composition_reseat_it): Remove unused locals.

(find_automatic_composition, composition_adjust_point): Likewise.
"
3155cb1585da7235145d76791feaf6170d8be0f1,0xAX/emacs,"Merge from origin/emacs-26

11bd8aa24b Fix flymake's loading of subr-x
b500e06f4d Fix Bug#28896
d815de017b Skip a Flymake test for old gcc versions
fd3d8610b2 Make :align-to account for display-line-numbers
831eafc8ae Augment Flymake API for third-party extensions
ddd547fada Improve treatment of Fortran's ""class default""
234b1e3864 Flymake backends must check proc obsoleteness in source bu...
3ea6a4d4ba Skip an rsync test in tramp-tests.el
25f83fa7c5 ; Indentation fixes
4d578d432d On Windows default a frame's border width to zero (Bug#28873)
6f1dea5c74 Spelling fixes
b8433b0954 Use pop-to-buffer-same-window instead of switch-to-buffer
2f7163fb72 Fix the MSDOS build.
2551d28fe8 Fix line number display after 'widen'
dc8812829b Remove resizable attribute on macOS undecorated frames (bu...
b970a4a52a Fix handling of `border-width' in `frameset--restore-frame...
445e92658f Mention how to send CC to > 1 address in a bug report
8ca6fa585a Improve format-time-string doc
2e1b3522b8 Improve documentation of 'line-number-display-width'
5b6e59cfdb Implement vc-default-dir-extra-headers for vc-rcs
22adeca42a In NEWS give advice on use of `switch-to-buffer' (Bug#28645)
2c3e6f1ddc Dont update primary selection with winner-undo
b38724ab67 Work around ImageMagick bug 825
20cc68e871 Document rectangle-preview option more (Bug#27974)
a0b7b301dd Do not reject https://gnu.org in commit messages
fb4200a875 Fix Edebug spec for cl-defun (bug#24255)
db68cefe72 Fix errors in kmacro.el post-command-hook
c63b344c3d Fix range-error in image-dired.el
081d2187c4 Fix 'line-number-display-width' in hscrolled windows
16e85456e7 Fix error in tramp-smb-handle-insert-directory
613db8d35c Don't reject PBM header whitespace unnecessarily
3205b12a78 Fix regression in display of PPM images
1ca9ae7069 Require subr-x when compiling nnimap.el
de60992053 Fix ert-test finding by symbol (Bug#28849)
51615a8082 Don't remember old debugger window (Bug#17882)
5980de3727 Disable python native completion on w32 (Bug#28580)
616b4c5956 Let select-frame-by-name choose any frame when called from...
8eb3c01dbd * lisp/dired-aux.el (dired-create-directory): Doc fix.
325dfdae13 Avoid compilation warnings in optimized builds
f79382819c ; * src/composite.c (Fclear_composition_cache): Fix last c...
f95cd5cd70 Improve customization of arabic-shaper-ZWNJ-handling.
a7f154688d Improve customization type of 'mouse-drag-and-drop-region'
864734d112 ; Prefer https: to http: in GNU URLs
3c78960a47 Encourage https: in commit messages
def9715282 ; Cleanup of etc/NEWS
4e59ecc646 Fix wording in Elisp manual's child frames section (Bug#28...
eda9f5018c Another fix for C mode fontification of w32 source files
05aadd8990 Fix fontification of ALIGN_STACK functions
aa0c38f358 Make sure thread stack is properly aligned on MS-Windows
d7038020aa Do not under-align pseudovectors
ff33053012 Fix indentation bug in multi-line CSS selectors
8968be822e ; * etc/NEWS: Grammar and spelling fixes
716b84034d gnutls_mac_get_nonce_size has been added in gnutls 3.3
55e313f7be ; * CONTRIBUTE: More suggestions for using US English.
622c675648 * CONTRIBUTE: Suggest American English.

# Conflicts:
#	etc/NEWS
#	msdos/sed2v2.inp
"
